TemplateStr,TemplateTokens,ParameterClasses,ExampleLog,Dataset
Diagnostics report from <*>: Error: <*>: No Route to Host from  <*> to <*>:<*> failed on socket timeout exception: <*>: No route to host: no further information; For more details see:  <*><*><*>,"['Diagnostics', 'report', 'from', '<*>', ':', 'Error', ':', '<*>', ':', 'No', 'Route', 'to', 'Host', 'from', '<*>', 'to', '<*>', ':', '<*>', 'failed', 'on', 'socket', 'timeout', 'exception', ':', '<*>', ':', 'No', 'route', 'to', 'host', ':', 'no', 'further', 'information', ';', 'For', 'more', 'details', 'see', ':', '<*>', '<*>', '<*>']","{14: 'Location', 16: 'Location::URL', 18: 'Location::IP-Port::Port', 25: 'Other::ClosedSet', 41: 'Location::URL', 42: 'Location::URL', 43: 'Location::URL', 3: 'Object::Process'}",Diagnostics report from attempt_1445144423722_0020_m_000002_0: Error: java.net.NoRouteToHostException: No Route to Host from  MININT-FNANLI5/127.0.0.1 to msra-sa-41:9000 failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see:  http://wiki.apache.org/hadoop/NoRouteToHost,hadoop
Processing the event EventType: <*>,"['Processing', 'the', 'event', 'EventType', ':', '<*>']",{5: 'Other::ClosedSet'},Processing the event EventType: TASK_ABORT,hadoop
Task cleanup failed for attempt <*>,"['Task', 'cleanup', 'failed', 'for', 'attempt', '<*>']",{5: 'Object::Process'},Task cleanup failed for attempt attempt_1445144423722_0020_m_000002_0,hadoop
Error writing History Event: <*>,"['Error', 'writing', 'History', 'Event', ':', '<*>']",{},Error writing History Event: org.apache.hadoop.mapreduce.jobhistory.TaskAttemptUnsuccessfulCompletionEvent@7317849d,hadoop
"Thread Thread[<*>,<*>,<*>] threw an Exception.","['Thread', 'Thread', '[', '<*>', ',', '<*>', ',', '<*>', ']', 'threw', 'an', 'Exception.']","{3: 'Other::ClosedSet', 5: 'Object::ValueExpression', 7: 'Other::ClosedSet'}","Thread Thread[eventHandlingThread,5,main] threw an Exception.",hadoop
"Thread Thread[<*>,<*>,<*>] threw an Exception.","['Thread', 'Thread', '[', '<*>', ',', '<*>', ',', '<*>', ']', 'threw', 'an', 'Exception.']","{3: 'Other::ClosedSet', 5: 'Object::ValueExpression', 7: 'Other::ClosedSet'}","Thread Thread[eventHandlingThread,5,main] threw an Exception.",hadoop
<*> failures on node <*>,"['<*>', 'failures', 'on', 'node', '<*>']","{0: 'Object::ValueExpression', 4: 'Location::URL'}",1 failures on node MININT-FNANLI5.fareast.corp.microsoft.com,hadoop
Added <*> to list of failed maps,"['Added', '<*>', 'to', 'list', 'of', 'failed', 'maps']",{1: 'Object::Process'},Added attempt_1445144423722_0020_m_000002_1 to list of failed maps,hadoop
authentication failure; logname<*> uid=<*> euid=<*> tty=<*> ruser<*> rhost=<*>,"['authentication', 'failure', ';', 'logname', '<*>', 'uid', '=', '<*>', 'euid', '=', '<*>', 'tty', '=', '<*>', 'ruser', '<*>', 'rhost', '=', '<*>']",{18: 'Location::IP-Port::IP'},authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,linux
check pass; user unknown,"['check', 'pass', ';', 'user', 'unknown']",{},check pass; user unknown,linux
session opened for user <*> by (uid=<*>),"['session', 'opened', 'for', 'user', '<*>', 'by', '(', 'uid', '=', '<*>', ')']",{4: 'Object::User'},session opened for user cyrus by (uid=0),linux
session closed for user <*>,"['session', 'closed', 'for', 'user', '<*>']",{4: 'Object::User'},session closed for user cyrus,linux
ALERT exited abnormally with [<*>],"['ALERT', 'exited', 'abnormally', 'with', '[', '<*>', ']']",{5: 'Other::ClosedSet'},ALERT exited abnormally with [1],linux
connection from <*> (<*>) at <*> <*> <*> <*>:<*>:<*> <*>,"['connection', 'from', '<*>', '(', '<*>', ')', 'at', '<*>', '<*>', '<*>', '<*>', ':', '<*>', ':', '<*>', '<*>']","{2: 'Location::IP-Port::IP', 4: 'Location::URL', 7: 'Time::Timestamp', 8: 'Time::Timestamp', 9: 'Time::Timestamp', 10: 'Time::Timestamp', 12: 'Time::Timestamp', 14: 'Time::Timestamp', 15: 'Time::Timestamp'}",connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,linux
User <*> timed out after <*> seconds at <*> <*> <*> <*>:<*>:<*> <*>,"['User', '<*>', 'timed', 'out', 'after', '<*>', 'seconds', 'at', '<*>', '<*>', '<*>', '<*>', ':', '<*>', ':', '<*>', '<*>']","{1: 'Object::User', 5: 'Time::Duration', 8: 'Time::Timestamp', 9: 'Time::Timestamp', 10: 'Time::Timestamp', 11: 'Time::Timestamp', 13: 'Time::Timestamp', 15: 'Time::Timestamp', 16: 'Time::Timestamp'}",User unknown timed out after 900 seconds at Sat Jun 18 02:23:10 2005,linux
restart.,['restart.'],{},restart.,linux
Received SNMP packet(s) from <*>,"['Received', 'SNMP', 'packet', '(', 's', ')', 'from', '<*>']",{7: 'Location::IP-Port::IP'},Received SNMP packet(s) from 67.170.148.126,linux
Authentication failed from <*> (<*>): Permission denied in replay cache code,"['Authentication', 'failed', 'from', '<*>', '(', '<*>', ')', ':', 'Permission', 'denied', 'in', 'replay', 'cache', 'code']","{3: 'Location::IP-Port::IP', 5: 'Location::IP-Port::IP'}",Authentication failed from 163.27.187.39 (163.27.187.39): Permission denied in replay cache code,linux
Kerberos authentication failed,"['Kerberos', 'authentication', 'failed']",{},Kerberos authentication failed,linux
Authentication failed from <*> (<*>): Software caused connection abort,"['Authentication', 'failed', 'from', '<*>', '(', '<*>', ')', ':', 'Software', 'caused', 'connection', 'abort']","{3: 'Location::IP-Port::IP', 5: 'Location::IP-Port::IP'}",Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort,linux
*** info [mice.c(1766)]:,"['***', 'info', '[', 'mice.c', '(', '1766', ')', ']', ':']",{},*** info [mice.c(1766)]:,linux
imps2: Auto-detected intellimouse PS/2,"['imps2', ':', 'Auto-detected', 'intellimouse', 'PS/2']",{},imps2: Auto-detected intellimouse PS/2,linux
session opened for user <*> by <*>(uid=<*>),"['session', 'opened', 'for', 'user', '<*>', 'by', '<*>', '(', 'uid', '=', '<*>', ')']",{6: 'Other::ClosedSet'},session opened for user root by LOGIN(uid=0),linux
ROOT LOGIN ON tty2,"['ROOT', 'LOGIN', 'ON', 'tty2']",{},ROOT LOGIN ON tty2,linux
<*> device node '<*>',"['<*>', 'device', 'node', ""'"", '<*>', ""'""]","{0: 'Other::ClosedSet', 4: 'Location::Path'}",removing device node '/udev/vcsa2',linux
Couldn't authenticate user,"['Couldn', ""'"", 't', 'authenticate', 'user']",{},Couldn't authenticate user,linux
"ANONYMOUS FTP LOGIN FROM <*>,  (<*>)","['ANONYMOUS', 'FTP', 'LOGIN', 'FROM', '<*>', ',', '(', '<*>', ')']","{4: 'Location::IP-Port::IP', 7: 'Object::User'}","ANONYMOUS FTP LOGIN FROM 84.102.20.2,  (anonymous)",linux
notify question section contains no SOA,"['notify', 'question', 'section', 'contains', 'no', 'SOA']",{},notify question section contains no SOA,linux
getpeername (<*>): Transport endpoint is not connected,"['getpeername', '(', '<*>', ')', ':', 'Transport', 'endpoint', 'is', 'not', 'connected']",{2: 'Object::Process'},getpeername (ftpd): Transport endpoint is not connected,linux
warning: can't get client address: Connection reset by peer,"['warning', ':', 'can', ""'"", 't', 'get', 'client', 'address', ':', 'Connection', 'reset', 'by', 'peer']",{},warning: can't get client address: Connection reset by peer,linux
Linux version <*> (<*>) (gcc version <*> <*> (Red Hat Linux <*>)) <*> <*> <*> <*> <*>:<*>:<*> <*> <*>,"['Linux', 'version', '<*>', '(', '<*>', ')', '(', 'gcc', 'version', '<*>', '<*>', '(', 'Red', 'Hat', 'Linux', '<*>', ')', ')', '<*>', '<*>', '<*>', '<*>', '<*>', ':', '<*>', ':', '<*>', '<*>', '<*>']","{4: 'Location::URL', 2: 'Object::ValueExpression', 9: 'Object::ValueExpression', 10: 'Object::ValueExpression', 15: 'Object::ValueExpression', 18: 'Object::ValueExpression', 20: 'Time::Timestamp', 21: 'Time::Timestamp', 19: 'Time::Timestamp', 22: 'Time::Timestamp', 24: 'Time::Timestamp', 26: 'Time::Timestamp', 27: 'Time::Timestamp', 28: 'Time::Timestamp'}",Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8 09:04:50 EDT 2004,linux
BIOS-provided physical RAM map:,"['BIOS-provided', 'physical', 'RAM', 'map', ':']",{},BIOS-provided physical RAM map:,linux
BIOS-e820: <*> - <*> (<*>),"['BIOS-e820', ':', '<*>', '-', '<*>', '(', '<*>', ')']","{6: 'Other::ClosedSet', 2: 'Object::ValueExpression', 4: 'Object::ValueExpression'}",BIOS-e820: 0000000000000000 - 00000000000a0000 (usable),linux
<*> <*> available.,"['<*>', '<*>', 'available.']","{0: 'Object::ValueExpression', 1: 'Other::ClosedSet'}",126MB LOWMEM available.,linux
zapping low mappings.,"['zapping', 'low', 'mappings.']",{},zapping low mappings.,linux
On node <*> totalpages: <*>,"['On', 'node', '<*>', 'totalpages', ':', '<*>']",{2: 'Object::ComputingResource'},On node 0 totalpages: 32430,linux
"<*> zone: <*> pages, LIFO batch:<*>","['<*>', 'zone', ':', '<*>', 'pages', ',', 'LIFO', 'batch', ':', '<*>']",{0: 'Other::ClosedSet'},"DMA zone: 4096 pages, LIFO batch:1",linux
DMI 2.3 present.,"['DMI', '2.3', 'present.']",{},DMI 2.3 present.,linux
ACPI disabled because your bios is from 2000 and too old,"['ACPI', 'disabled', 'because', 'your', 'bios', 'is', 'from', '2000', 'and', 'too', 'old']",{},ACPI disabled because your bios is from 2000 and too old,linux
You can enable it with acpi=<*>,"['You', 'can', 'enable', 'it', 'with', 'acpi', '=', '<*>']",{7: 'Other::ClosedSet'},You can enable it with acpi=force,linux
Built <*> zonelists,"['Built', '<*>', 'zonelists']",{1: 'Object::ValueExpression'},Built 1 zonelists,linux
Kernel command line: <*> <*><*><*><*><*> <*> <*>,"['Kernel', 'command', 'line', ':', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>']",{5: 'Object::User'},Kernel command line: ro root=LABEL=/ rhgb quiet,linux
mapped 4G/4G trampoline to <*>,"['mapped', '4G/4G', 'trampoline', 'to', '<*>']",{4: 'Object::ValueExpression'},mapped 4G/4G trampoline to ffff3000.,linux
Initializing CPU#0,"['Initializing', 'CPU#0']",{},Initializing CPU#0,linux
Initializing CPU<*>,"['Initializing', 'CPU<*>']",{},Initializing CPU#0,linux
"CPU <*> irqstacks, hard=<*> soft=<*>","['CPU', '<*>', 'irqstacks', ',', 'hard', '=', '<*>', 'soft', '=', '<*>']",{1: 'Object::ComputingResource'},"CPU 0 irqstacks, hard=02345000 soft=02344000",linux
PID hash table entries: <*> (order <*>: <*> <*>),"['PID', 'hash', 'table', 'entries', ':', '<*>', '(', 'order', '<*>', ':', '<*>', '<*>', ')']","{8: 'Object::ValueExpression', 10: 'Object::ValueExpression', 11: 'Object::ValueExpression'}",PID hash table entries: 512 (order 9: 4096 bytes),linux
Detected <*> <*> processor.,"['Detected', '<*>', '<*>', 'processor.']","{1: 'Object::ValueExpression', 2: 'Object::ValueExpression'}",Detected 731.219 MHz processor.,linux
Version <*> Starting,"['Version', '<*>', 'Starting']",{1: 'Object::ValueExpression'},Version 1.0.6 Starting,linux
Using tsc for high-res timesource,"['Using', 'tsc', 'for', 'high-res', 'timesource']",{},Using tsc for high-res timesource,linux
Console: colour VGA+ <*>,"['Console', ':', 'colour', 'VGA+', '<*>']",{4: 'Object::ValueExpression'},Console: colour VGA+ 80x25,linux
Calibrating delay loop... <*> BogoMIPS,"['Calibrating', 'delay', 'loop..', '.', '<*>', 'BogoMIPS']",{4: 'Object::ValueExpression'},Calibrating delay loop... 1445.88 BogoMIPS,linux
Security Scaffold <*> initialized,"['Security', 'Scaffold', '<*>', 'initialized']",{2: 'Object::ValueExpression'},Security Scaffold v1.0.0 initialized,linux
SELinux:  Initializing.,"['SELinux', ':', 'Initializing.']",{},SELinux:  Initializing.,linux
SELinux:  Starting in permissive mode,"['SELinux', ':', 'Starting', 'in', 'permissive', 'mode']",{},SELinux:  Starting in permissive mode,linux
"There is already a security framework initialized, register_security failed.","['There', 'is', 'already', 'a', 'security', 'framework', 'initialized', ',', 'register_security', 'failed.']",{},"There is already a security framework initialized, register_security failed.",linux
Failure registering capabilities with the kernel,"['Failure', 'registering', 'capabilities', 'with', 'the', 'kernel']",{},Failure registering capabilities with the kernel,linux
selinux_register_security:  Registering secondary module capability,"['selinux_register_security', ':', 'Registering', 'secondary', 'module', 'capability']",{},selinux_register_security:  Registering secondary module capability,linux
Capability LSM initialized,"['Capability', 'LSM', 'initialized']",{},Capability LSM initialized,linux
"CPU: L1 I cache: <*>, L1 D cache: <*>","['CPU', ':', 'L1', 'I', 'cache', ':', '<*>', ',', 'L1', 'D', 'cache', ':', '<*>']","{6: 'Object::ComputingResource', 12: 'Object::ComputingResource'}","CPU: L1 I cache: 16K, L1 D cache: 16K",linux
"klogd <*>, log source = <*> started.","['klogd', '<*>', ',', 'log', 'source', '=', '<*>', 'started.']","{1: 'Object::ValueExpression', 6: 'Location::Path'}","klogd 1.4.1, log source = /proc/kmsg started.",linux
"Memory: <*> available (<*> kernel code, <*> reserved, <*> data, <*> init, <*> highmem)","['Memory', ':', '<*>', 'available', '(', '<*>', 'kernel', 'code', ',', '<*>', 'reserved', ',', '<*>', 'data', ',', '<*>', 'init', ',', '<*>', 'highmem', ')']","{2: 'Object::ComputingResource', 5: 'Object::ValueExpression', 9: 'Object::ValueExpression', 12: 'Object::ValueExpression', 15: 'Object::ValueExpression', 18: 'Object::ValueExpression'}","Memory: 125312k/129720k available (1540k kernel code, 3860k reserved, 599k data, 144k init, 0k highmem)",linux
"<*> <*> hash table entries: <*> (order<*> <*>, <*> bytes)","['<*>', '<*>', 'hash', 'table', 'entries', ':', '<*>', '(', 'order', '<*>', '<*>', ',', '<*>', 'bytes', ')']","{0: 'Other::ClosedSet', 1: 'Other::ClosedSet', 12: 'Object::ValueExpression'}","Dentry cache hash table entries: 16384 (order: 4, 65536 bytes)",linux
CPU: L2 cache: <*>,"['CPU', ':', 'L2', 'cache', ':', '<*>']",{5: 'Object::ComputingResource'},CPU: L2 cache: 256K,linux
Intel machine check architecture supported.,"['Intel', 'machine', 'check', 'architecture', 'supported.']",{},Intel machine check architecture supported.,linux
Intel machine check reporting enabled on <*>,"['Intel', 'machine', 'check', 'reporting', 'enabled', 'on', '<*>']",{6: 'Object::ComputingResource'},Intel machine check reporting enabled on CPU#0.,linux
CPU: Intel Pentium III (Coppermine) stepping 06,"['CPU', ':', 'Intel', 'Pentium', 'III', '(', 'Coppermine', ')', 'stepping', '06']",{},CPU: Intel Pentium III (Coppermine) stepping 06,linux
Enabling fast FPU save and restore... done.,"['Enabling', 'fast', 'FPU', 'save', 'and', 'restore..', '.', 'done.']",{},Enabling fast FPU save and restore... done.,linux
Enabling unmasked SIMD FPU exception support... done.,"['Enabling', 'unmasked', 'SIMD', 'FPU', 'exception', 'support..', '.', 'done.']",{},Enabling unmasked SIMD FPU exception support... done.,linux
Checking 'hlt' instruction... OK.,"['Checking', ""'"", 'hlt', ""'"", 'instruction..', '.', 'OK.']",{},Checking 'hlt' instruction... OK.,linux
Initializing random number generator:  succeeded,"['Initializing', 'random', 'number', 'generator', ':', 'succeeded']",{},Initializing random number generator:  succeeded,linux
POSIX conformance testing by UNIFIX,"['POSIX', 'conformance', 'testing', 'by', 'UNIFIX']",{},POSIX conformance testing by UNIFIX,linux
NET: Registered protocol family 16,"['NET', ':', 'Registered', 'protocol', 'family', '16']",{},NET: Registered protocol family 16,linux
"PCI: PCI BIOS revision <*> entry at <*>, last bus=<*>","['PCI', ':', 'PCI', 'BIOS', 'revision', '<*>', 'entry', 'at', '<*>', ',', 'last', 'bus', '=', '<*>']","{5: 'Object::ValueExpression', 8: 'Object::ValueExpression'}","PCI: PCI BIOS revision 2.10 entry at 0xfc0ce, last bus=1",linux
PCI: Using configuration type <*>,"['PCI', ':', 'Using', 'configuration', 'type', '<*>']",{5: 'Other::ClosedSet'},PCI: Using configuration type 1,linux
mtrr: <*> (<*>),"['mtrr', ':', '<*>', '(', '<*>', ')']","{2: 'Object::ValueExpression', 4: 'Object::ValueExpression'}",mtrr: v2.0 (20020519),linux
ACPI: Subsystem revision <*>,"['ACPI', ':', 'Subsystem', 'revision', '<*>']",{4: 'Object::ValueExpression'},ACPI: Subsystem revision 20040326,linux
ACPI: Interpreter disabled.,"['ACPI', ':', 'Interpreter', 'disabled.']",{},ACPI: Interpreter disabled.,linux
Linux Plug and Play Support <*> (c) Adam Belay,"['Linux', 'Plug', 'and', 'Play', 'Support', '<*>', '(', 'c', ')', 'Adam', 'Belay']",{5: 'Object::ValueExpression'},Linux Plug and Play Support v0.97 (c) Adam Belay,linux
Starting pcmcia:  succeeded,"['Starting', 'pcmcia', ':', 'succeeded']",{},Starting pcmcia:  succeeded,linux
usbcore: registered new driver <*>,"['usbcore', ':', 'registered', 'new', 'driver', '<*>']",{5: 'Other::ClosedSet'},usbcore: registered new driver usbfs,linux
ACPI: ACPI tables contain no PCI IRQ routing entries,"['ACPI', ':', 'ACPI', 'tables', 'contain', 'no', 'PCI', 'IRQ', 'routing', 'entries']",{},ACPI: ACPI tables contain no PCI IRQ routing entries,linux
PCI: Invalid ACPI-PCI IRQ routing table,"['PCI', ':', 'Invalid', 'ACPI-PCI', 'IRQ', 'routing', 'table']",{},PCI: Invalid ACPI-PCI IRQ routing table,linux
PCI: Probing PCI hardware,"['PCI', ':', 'Probing', 'PCI', 'hardware']",{},PCI: Probing PCI hardware,linux
PCI: Probing PCI hardware (bus <*>),"['PCI', ':', 'Probing', 'PCI', 'hardware', '(', 'bus', '<*>', ')']",{7: 'Object::ComputingResource'},PCI: Probing PCI hardware (bus 00),linux
Transparent bridge - <*>:<*>:<*>,"['Transparent', 'bridge', '-', '<*>', ':', '<*>', ':', '<*>']","{3: 'Location', 5: 'Location', 7: 'Location'}",Transparent bridge - 0000:00:1e.0,linux
PCI: Using IRQ router <*> [<*>] at <*>:<*>:<*>,"['PCI', ':', 'Using', 'IRQ', 'router', '<*>', '[', '<*>', ']', 'at', '<*>', ':', '<*>', ':', '<*>']","{5: 'Other::ClosedSet', 7: 'Object::ValueExpression', 10: 'Location', 12: 'Location', 14: 'Location'}",PCI: Using IRQ router PIIX/ICH [8086/2410] at 0000:00:1f.0,linux
apm: BIOS version <*> Flags <*> (Driver version <*>),"['apm', ':', 'BIOS', 'version', '<*>', 'Flags', '<*>', '(', 'Driver', 'version', '<*>', ')']","{4: 'Object::ValueExpression', 6: 'Object::ValueExpression', 10: 'Object::ValueExpression'}",apm: BIOS version 1.2 Flags 0x03 (Driver version 1.16ac),linux
audit: initializing netlink socket (disabled),"['audit', ':', 'initializing', 'netlink', 'socket', '(', 'disabled', ')']",{},audit: initializing netlink socket (disabled),linux
kernel.core_uses_pid = <*>,"['kernel.core_uses_pid', '=', '<*>']",{2: 'Other::ClosedSet'},kernel.core_uses_pid = 1,linux
HCI daemon ver <*> started,"['HCI', 'daemon', 'ver', '<*>', 'started']",{3: 'Object::ValueExpression'},HCI daemon ver 2.4 started,linux
audit(<*><*><*>): initialized,"['audit', '(', '<*>', '<*>', '<*>', ')', ':', 'initialized']","{2: 'Object::ValueExpression', 3: 'Object::ValueExpression', 4: 'Object::ValueExpression'}",audit(1122475266.4294965305:0): initialized,linux
Setting network parameters:  succeeded,"['Setting', 'network', 'parameters', ':', 'succeeded']",{},Setting network parameters:  succeeded,linux
